,f0_mean,f0_std,f0_25p,f0_median,f0_75p,f0_iqr
103_1241_000000_000001.wav,235.389025507887,26.641835453949074,208.10227303016222,242.51465064166365,255.45548363412794,47.35321060396572
103_1241_000004_000002.wav,194.56805897463542,67.57097886731589,177.0213358359265,199.27193957741164,248.1831618933976,71.1618260574711
103_1241_000007_000001.wav,237.1401181451313,42.77007984156285,193.88426650996706,252.5213271483653,269.86851253695994,75.98424602699288
1034_121119_000001_000001.wav,91.06786398012788,8.434991879614458,89.02266458792272,92.42821574978186,97.07990411559533,8.057239527672607
1034_121119_000002_000001.wav,123.46790959650538,21.35038239554119,106.17213938708544,121.25732532083185,134.54342644059432,28.37128705350888
1034_121119_000010_000004.wav,138.94138235431151,37.24904132922993,111.19345758738697,124.45100855441926,165.64238781462038,54.448930227233404
1040_133433_000001_000002.wav,146.50919192883958,47.495330478593374,115.1146864008656,133.76851332616152,167.56705965130024,52.45237325043465
1040_133433_000004_000001.wav,177.86906059627145,42.79132646436183,142.5437949024543,157.25129576724018,213.57437666720554,71.03058176475125
1040_133433_000007_000000.wav,164.54199542550393,44.117326981151784,139.8967683596293,167.08450202843466,190.27313840043536,50.37637004080605
1069_133699_000001_000000.wav,133.18913281722556,39.44321607963523,86.86215605701351,148.01283881834877,164.93097854507275,78.06882248805924
1069_133699_000002_000002.wav,179.51713623251268,33.15412658416723,153.6596712081607,173.4762992482269,195.8485669287449,42.18889572058421
1069_133699_000003_000002.wav,213.39493303259073,42.02749408199152,179.5939277294997,213.57437666720554,243.91952372092192,64.3255959914222
1081_128618_000003_000000.wav,120.37670166792748,35.050535701816294,96.24200288656934,99.63596978870585,128.4676610981402,32.225658211570874
1081_128618_000005_000000.wav,159.1995575186234,21.003866390772036,139.28809012737983,155.44511058457695,180.634304768981,41.346214641601165
1081_128618_000007_000000.wav,147.0201926259882,21.61927063265538,133.7707449117202,146.72064691274738,165.19843810054067,31.427693188820484
1088_129236_000002_000000.wav,192.99247096507418,17.491921900259545,179.85402198937004,191.37857208678702,207.49432874416155,27.64030675479151
1088_129236_000003_000000.wav,204.35704764015986,25.13690579368409,190.27313840043536,198.12421766039049,216.05599138691045,25.782852986475092
1088_129236_000005_000000.wav,198.09279768806041,32.37591264547229,174.48123722644124,189.7251920823895,209.9052967099918,35.424059483550565
1098_133695_000002_000000.wav,149.82272093590188,15.033682289836154,135.32282858103176,148.4279348098197,159.3088508581057,23.986022277073943
1098_133695_000003_000002.wav,197.5805401393293,45.00542160748367,157.7067695118518,192.48400577313868,221.10974938403405,63.40297987218224
1098_133695_000003_000003.wav,197.29825764056983,38.833039616866934,163.73982271948395,195.8485669287449,226.27416997969522,62.53434726021126
1116_132847_000004_000000.wav,183.69632091037892,49.092028032364084,166.60194440556904,184.85643149956363,205.11105310731665,38.50910870174761
1116_132847_000004_000001.wav,194.7405957808158,45.05911384255729,174.48123722644124,196.98310613518657,222.3869151747739,47.90567794833265
